"","x"
"1","520"
"2","521"
"3","522"
"4","523"
"5","524"
"6","525"
"7","526"
"8","527"
"9","528"
"10","529"
"11","530"
"12","531"
"13","532"
"14","533"
"15","534"
"16","535"
"17","536"
"18","537"
"19","538"
"20","539"
"21","540"
"22","541"
"23","542"
"24","840"
"25","841"
"26","842"
"27","843"
"28","844"
"29","845"
"30","846"
"31","847"
"32","848"
"33","849"
"34","850"
"35","851"
"36","852"
"37","853"
"38","854"
"39","855"
"40","856"
"41","857"
"42","858"
"43","859"
"44","860"
"45","861"
"46","898"
"47","899"
"48","982"
"49","983"
"50","984"
"51","985"
"52","986"
"53","987"
"54","988"
"55","989"
"56","990"
"57","991"
"58","992"
"59","993"
"60","994"
"61","995"
"62","996"
"63","997"
"64","998"
"65","999"
"66","1000"
"67","1001"
"68","1002"
"69","1003"
"70","1004"
"71","1005"
"72","1006"
"73","1007"
"74","1008"
"75","1009"
"76","1010"
"77","1011"
"78","1012"
"79","1013"
"80","1014"
"81","1015"
"82","1016"
"83","1017"
"84","1018"
"85","1019"
"86","1020"
"87","1021"
"88","1022"
"89","1023"
"90","1024"
"91","1025"
"92","1026"
"93","1027"
"94","1028"
"95","1029"
"96","1030"
"97","1031"
"98","1032"
"99","1033"
"100","1034"
"101","1035"
"102","1036"
"103","1037"
"104","1038"
"105","1039"
"106","1040"
"107","1041"
"108","1042"
"109","1043"
"110","1044"
"111","1045"
"112","1046"
"113","1047"
"114","1048"
"115","1049"
"116","1050"
"117","1051"
"118","1052"
"119","1053"
"120","1054"
"121","1055"
"122","1056"
"123","1057"
"124","1058"
"125","1059"
"126","1060"
"127","1061"
"128","1062"
"129","1063"
"130","1064"
"131","1065"
"132","1066"
"133","1067"
"134","1068"
"135","1069"
"136","1070"
"137","1071"
"138","1072"
"139","1073"
"140","1074"
"141","1075"
"142","1076"
"143","1077"
"144","1078"
"145","1079"
"146","1080"
"147","1081"
"148","1082"
"149","1083"
"150","1084"
"151","1085"
"152","1086"
"153","1087"
"154","1088"
"155","1089"
"156","1090"
"157","1091"
"158","1092"
"159","1093"
"160","1094"
"161","1095"
"162","1096"
"163","1097"
"164","1098"
"165","1099"
"166","1100"
"167","1101"
"168","1102"
"169","1103"
"170","1104"
"171","1105"
"172","1106"
"173","1107"
"174","1108"
"175","1109"
"176","1110"
"177","1111"
"178","1112"
"179","1113"
"180","1114"
"181","1115"
"182","1116"
"183","1117"
"184","1118"
"185","1119"
"186","1120"
"187","1121"
"188","1122"
"189","1123"
"190","1124"
"191","1125"
"192","1126"
"193","1127"
"194","1128"
"195","1129"
"196","1130"
"197","1131"
"198","1132"
"199","1133"
"200","1134"
"201","1135"
"202","1136"
"203","1137"
"204","1138"
"205","1139"
"206","1140"
"207","1141"
"208","1142"
"209","1143"
"210","1144"
"211","1145"
"212","1146"
"213","1147"
"214","1148"
"215","1149"
"216","1150"
"217","1151"
"218","1152"
"219","1153"
"220","1154"
"221","1155"
"222","1156"
"223","1157"
"224","1158"
"225","1159"
"226","1160"
"227","1161"
"228","1162"
"229","1163"
"230","1164"
"231","1165"
"232","1401"
"233","1402"
"234","1403"
"235","1404"
"236","1405"
"237","1406"
"238","1407"
"239","1408"
"240","1409"
"241","1410"
"242","1411"
"243","1412"
"244","1413"
"245","1414"
"246","1415"
"247","1416"
"248","1417"
"249","1418"
"250","1419"
"251","1420"
"252","1421"
"253","1422"
"254","1423"
"255","1424"
"256","1425"
"257","1426"
"258","1427"
"259","1428"
"260","1429"
"261","1430"
"262","1431"
"263","1432"
"264","1433"
"265","1434"
"266","1435"
"267","1436"
"268","1437"
"269","1438"
"270","1439"
"271","1440"
"272","1441"
"273","1442"
"274","1443"
"275","1444"
"276","1445"
"277","1446"
"278","1447"
"279","1448"
"280","1449"
"281","1450"
"282","1451"
"283","1452"
"284","1453"
"285","1454"
"286","1455"
"287","1456"
"288","1457"
"289","1458"
"290","1459"
"291","1460"
"292","1461"
"293","1462"
"294","1463"
"295","1464"
"296","1465"
"297","1466"
"298","1467"
"299","1468"
"300","1469"
"301","1470"
"302","1471"
"303","1472"
"304","1473"
"305","1474"
"306","1475"
"307","1476"
"308","1477"
"309","1478"
"310","1479"
"311","1480"
